location,sqft,bath,price,bhk
other,3500.0,5.0,450.0,4
other,1900.0,3.0,160.0,3
sarjapura - attibele road,1800.0,3.0,90.0,3
hormavu,1210.0,2.0,69.0,2
8th phase jp nagar,1510.0,2.0,80.0,2
kanakpura road,525.0,1.0,30.0,1
green glen layout,1645.0,3.0,110.0,3
hennur road,1341.0,2.0,75.76,2
tc palaya,1200.0,2.0,65.0,2
other,2425.0,4.0,173.0,4
ramagondanahalli,2257.0,3.0,159.0,3
choodasandra,1465.0,3.0,75.0,3
rachenahalli,985.0,2.0,49.97,2
old airport road,2690.0,4.0,191.0,4
attibele,450.0,1.0,12.5,1
other,1200.0,2.0,75.0,2
other,2100.0,4.0,255.0,3
harlur,1197.0,2.0,82.0,2
kanakpura road,1339.0,2.0,71.5,2
gubbalala,1475.0,2.0,80.0,2
basavangudi,1050.0,2.0,103.0,2
sarjapur,1044.0,2.0,32.0,2
doddaballapur,4200.0,4.0,325.0,4
mico layout,5000.0,9.0,210.0,9
dommasandra,2700.0,3.0,68.0,4
jp nagar,1150.0,2.0,90.0,2
whitefield,2321.0,4.0,128.0,3
whitefield,1320.0,2.0,79.5,2
hebbal,3960.0,5.0,386.0,4
tumkur road,1098.0,2.0,72.0,2
thigalarapalya,2072.0,4.0,160.0,3
hulimavu,850.0,1.0,39.5,2
ambalipura,1607.0,2.0,112.0,3
ambedkar nagar,1935.0,4.0,130.0,3
jigani,933.0,2.0,43.0,2
old madras road,1200.0,2.0,72.0,2
other,1100.0,2.0,60.0,2
kammasandra,1595.0,3.0,65.0,3
talaghattapura,2106.0,3.0,148.0,3
8th phase jp nagar,2600.0,4.0,115.0,4
raja rajeshwari nagar,1700.0,2.0,86.0,3
electronic city,1025.0,2.0,54.0,2
pai layout,1400.0,2.0,57.5,2
other,2500.0,3.0,250.0,3
ramamurthy nagar,1125.0,2.0,47.0,2
indira nagar,2700.0,3.0,324.0,3
sanjay nagar,1500.0,3.0,150.0,3
gollarapalya hosahalli,1905.0,3.0,86.0,4
seegehalli,1639.0,3.0,120.0,3
other,1690.0,3.0,100.0,3
hormavu,1725.0,3.0,85.0,3
kodigehaali,1324.0,3.0,65.0,3
uttarahalli,1560.0,3.0,74.0,3
hoskote,1065.0,2.0,33.75,2
panathur,1210.0,2.0,77.0,2
bisuvanahalli,1180.0,2.0,46.0,3
parappana agrahara,1194.0,2.0,46.0,2
kaval byrasandra,1100.0,2.0,46.0,2
kanakpura road,458.0,1.0,19.695,1
hrbr layout,1900.0,3.0,90.0,4
1st phase jp nagar,1180.0,2.0,88.5,2
kr puram,1020.0,2.0,39.0,2
other,1200.0,2.0,115.0,2
bannerghatta road,1520.0,2.0,80.0,3
green glen layout,1715.0,3.0,120.0,3
electronic city phase ii,1000.0,2.0,28.88,2
marathahalli,950.0,2.0,46.7,2
raja rajeshwari nagar,1303.0,2.0,55.79,2
kothannur,1206.0,2.0,48.23,2
bannerghatta,1776.0,3.0,150.0,3
other,1495.0,3.0,90.0,3
whitefield,1314.0,2.0,84.0,2
abbigere,985.0,2.0,40.39,2
kundalahalli,1397.0,3.0,110.0,3
garudachar palya,1150.0,2.0,52.8,2
whitefield,1200.0,3.0,67.77,3
hosa road,1318.0,2.0,85.28,3
singasandra,1010.0,2.0,40.0,2
sahakara nagar,1655.0,3.0,115.0,3
anandapura,1749.0,4.0,90.0,4
banashankari,1170.0,2.0,46.79,2
sarjapur,650.0,1.0,19.87,1
raja rajeshwari nagar,1575.0,2.0,78.0,3
rajaji nagar,1800.0,4.0,324.0,6
bommasandra,955.0,2.0,37.97,2
kogilu,700.0,1.0,30.84,1
kaggadasapura,1500.0,3.0,75.0,3
cox town,1073.0,2.0,72.0,2
kumaraswami layout,1081.0,2.0,60.0,2
uttarahalli,1025.0,2.0,35.88,2
marathahalli,1230.0,2.0,57.0,2
other,1477.0,2.0,80.0,3
uttarahalli,1150.0,2.0,46.0,2
other,1198.0,2.0,84.0,2
tindlu,1050.0,2.0,55.0,2
badavala nagar,1842.0,3.0,115.0,3
marathahalli,1208.0,2.0,70.0,2
kothanur,1160.0,2.0,57.0,2
bannerghatta road,1476.0,3.0,125.0,3
indira nagar,2400.0,6.0,475.0,6
kanakpura road,1322.0,2.0,70.0,2
rajaji nagar,1200.0,2.0,150.0,2
marathahalli,1350.0,2.0,86.0,2
kasavanhalli,950.0,2.0,39.0,2
kasavanhalli,1719.0,3.0,116.0,3
bannerghatta road,1532.5,3.0,79.465,3
marathahalli,3951.0,4.0,230.0,4
panathur,1210.0,2.0,80.0,2
cv raman nagar,1825.0,3.0,126.0,3
jigani,918.0,2.0,52.0,2
amruthahalli,1100.0,2.0,45.0,2
kambipura,883.0,2.0,39.0,2
subramanyapura,1278.0,3.0,70.0,3
whitefield,1267.0,2.0,90.33,2
other,940.0,2.0,56.0,2
other,1155.0,2.0,69.0,2
haralur road,1194.0,2.0,47.0,2
whitefield,640.0,1.0,19.83,1
other,1348.0,2.0,100.0,2
yelahanka,694.0,1.0,30.84,1
hennur,1255.0,2.0,53.57,2
other,1900.0,3.0,205.0,3
hosur road,1427.0,2.0,80.63,3
kaval byrasandra,1180.0,2.0,60.0,2
budigere,1162.0,2.0,58.0,2
vittasandra,1404.0,2.0,75.0,2
other,3040.0,1.0,180.0,2
hegde nagar,1718.0,3.0,130.0,3
whitefield,840.0,1.0,57.6,1
nehru nagar,1775.0,3.0,110.0,3
ramamurthy nagar,360.0,1.0,26.0,1
koramangala,2223.0,3.0,300.0,3
hegde nagar,1341.0,2.0,97.0,2
hormavu,1018.0,2.0,50.8,2
hennur road,1255.0,2.0,84.0,2
thanisandra,1698.0,3.0,107.0,3
harlur,1386.0,2.0,85.0,2
electronics city phase 1,995.0,2.0,46.0,2
whitefield,1610.0,3.0,81.0,3
green glen layout,1530.0,3.0,105.0,3
panathur,1235.0,2.0,65.0,2
other,1517.0,2.0,125.0,2
other,1350.0,2.0,90.0,2
malleshwaram,2476.0,3.0,337.0,3
sarjapur  road,1830.0,3.0,119.0,3
abbigere,734.0,1.0,19.82,1
hebbal,2790.0,4.0,198.0,4
kengeri,2500.0,4.0,100.0,5
bannerghatta road,1655.0,3.0,90.0,3
banjara layout,1200.0,2.0,70.0,2
other,600.0,1.0,32.0,1
sarjapur  road,1691.0,3.0,98.0,3
hennur,1259.0,2.0,57.0,2
other,4051.0,4.0,345.0,4
bannerghatta road,2826.0,3.0,148.0,3
nagarbhavi,1800.0,3.0,180.0,4
other,1100.0,2.0,65.0,2
nagavara,1125.0,2.0,44.5,2
